Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,CTH,Basic notification,Sr no,CETH,Excise notification,Sr no,Mrp Sr no,Amount,SAD notification,Sr no,Exim Code,Scheme Notn,Scheme SrNo,Generic Description,BRAND,Model,END USE,EduCessNotnNo,EduCessNotnSrNo ,SHEduCessNotnNo,SHEduCessNotnSrNo,CEXEduCessNotnNo,CEXEduCessNotnSrNo ,Country of origin,RSP Notf,Sr. no.,Sapta Notif No,SAPTA Sr No,Manufacturer,Address,MRP Status,Abatement Rate,IGST Notn No,IGST SrNo,GST CCESS Notn No,GST CCESS SrNo,IGST Exemp Notn Type,IGST Exemp Notn No,IGST Exemp SrNo,GST CCESS Exemp NotnType,GST CCESS Exemp Notn No,GST CCESS Exemp SrNo,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SWS Notn No,SWS Notn SrNo,Duty Exemption Type,Regn No.,Regn Date,Regn Port,Item SNo. In Lic.,Product Material Code,Type Of Item,Source Country,Transit Country,SQC_Qty,Consigner Name,Consigner Address,Consigner City,Consigner Country,SIMS Category,SIMS Code,Custom Health Cess Notn No,Custom Health Cess Notn SrNo,COO_No ,COO_Date of Issue ,COO_Issuing Country ,COO_Origin Criteria ,COO_Origin Criteria remarks ,COO_Accumulation/Cumulation Status ,FOC Item,AIDC Levy Notification No ,AIDC Levy Notification Sr.No. ,AIDC Exemption Notification No. ,AIDC Exemption Notification Sr.No. ,AIDCNotn_Excise,ADICNotnSr_Excise,Previous BE No.,Previous BE Date,Previous BE IGM No.,Previous BE IGM Date,Previous BE Currency,Previous BE Unit Price,Previous BE Custom House,Aggregate Duty Notification No.,Aggregate Duty Notification Sr.No.,COO_Tariff Shift,COO_Retroactive Issuance Status,COO_Direct Consignment Status,GST_Comp_Cess_SalePrice_INR,CVD_Notn,CVD_SLNo,CVD_Rate,CVD_Calc,CVD_ItemSLNo,CVD_SuppSLNo,COO_ItemSrNoCert
59638718,04.02.2026,FOB,03F129717C GASKET (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"1,600",PCS,EUR,0.64621875,87089900,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,03F129717C,GNX200,,,,,,,IT,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,16,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04C105561AAGLB MAIN BEARING (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),570,PCS,EUR,0.593192982,84828000,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04C105561AAGLB,GNX200,,,,,,,SK,,,,,,,N,,009/2025,II467,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,570,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04C105591AAGLB MAIN BEARING (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"2,280",PCS,EUR,0.550100877,84828000,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04C105591AAGLB,GNX200,,,,,,,SK,,,,,,,N,,009/2025,II467,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,2280,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04E103111A SEALING CAP (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"3,600",PCS,EUR,0.779838889,87089900,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04E103111A,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,72,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04E103415AS VALVE GUIDE (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"27,600",PCS,EUR,0.363589855,84099199,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04E103415AS,GNX200,,,,,,,FR,,,,,,,N,,009/2025,II396,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,552,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04E105243AG VIBRATION DAMPER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),300,PCS,EUR,9.3186,84835010,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04E105243AG,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II468,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,300,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04E105401CP CONNECTING ROD (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,PCS,EUR,6.384583333,87089900,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04E105401CP,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,14.4,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04E105701AMGLB CONNECTING ROD BEARING SHELL (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"14,250",PCS,EUR,0.52112,84833000,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04E105701AMGLB,GNX200,,,,,,,SK,,,,,,,N,,009/2025,II468,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,14250,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04E115111D SEAL RING (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),"18,000",PCS,EUR,0.09569,40169390,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04E115111D,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II142,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,18,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
59638718,04.02.2026,FOB,04E906423C SOLENOID VALVE (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),42,PCS,EUR,6.637619048,84812000,,,NOEXCISE,,,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,04E906423C,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II466,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,8.232,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869, 293 01 MLADA BOLESLAV",,Czech Republic,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
