Invoice Number,Invoice Date,Part No.,Description,Country Code,HS Code,Default,Quantity,Unit,Net Weight,Price/100,Total Price,Currency,Source
51190699,16-02-2026,11A827506A,LOCK,IT,830120,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,0.700,619.37,12.39,EUR,VOLKSWAGEN AG
51190699,16-02-2026,572857017A,MODULE BRACKET,CZ,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,12.200,"3,216.51",64.33,EUR,VOLKSWAGEN AG
51190699,16-02-2026,572863934B,DAMPING,CZ,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,14.000,"2,869.71",57.39,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L805588H,PLASTIC FRONT-END CARRIER,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,6.574,"1,489.14",29.78,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L863919,FLOOR SOUND INSULATION,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,8.500,"1,351.31",27.03,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L941012A,HEADLAMP,CZ,851220,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,SET,31.520,"57,335.93","1,146.72",EUR,VOLKSWAGEN AG
51190699,16-02-2026,57M863367A62U,FLOOR COVERING,PL,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,8.218,"1,733.01",34.66,EUR,VOLKSWAGEN AG
51190699,16-02-2026,8V0827507K,STRIKER,PL,830160,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,0.570,233.51,7.01,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5H2800345RM7P,DOOR HANDLE,CZ,392630,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,SET,0.463,"2,596.85",25.97,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5H2800345RP5J,DOOR HANDLE,CZ,392630,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,SET,0.463,"2,596.85",25.97,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS201021AS,FUEL TANK,HU,870899,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,23.522,"15,702.34",314.05,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L867601A4PK,"LINING,TRUNK LID",PL,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,PCE,5.516,"1,243.51",24.87,EUR,VOLKSWAGEN AG
51190699,16-02-2026,"=""0CQ525010AP""",REAR DIFFERENTIAL,DE,870850,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,88.512,"38,767.80","1,163.03",EUR,VOLKSWAGEN AG
51190699,16-02-2026,11A827506A,LOCK,IT,830120,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,0.350,619.37,6.19,EUR,VOLKSWAGEN AG
51190699,16-02-2026,572857017A,MODULE BRACKET,CZ,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,6.100,"3,216.51",32.17,EUR,VOLKSWAGEN AG
51190699,16-02-2026,572863934B,DAMPING,CZ,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,7.000,"2,869.71",28.70,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L805588H,PLASTIC FRONT-END CARRIER,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,3.287,"1,489.14",14.89,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L863919,FLOOR SOUND INSULATION,DE,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,4.250,"1,351.31",13.51,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L941012A,HEADLAMP,CZ,851220,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,SET,15.760,"57,335.93",573.36,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57M863367A62U,FLOOR COVERING,PL,870829,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,4.109,"1,733.01",17.33,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS400053,STEERING KNUCKLE,DE,870850,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,86.220,"14,848.14",445.44,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS400054,STEERING KNUCKLE,DE,870850,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,86.265,"14,932.14",447.96,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS412022FE,SUSPENSION STRUT,DE,870880,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),6,PCE,44.502,"5,276.07",316.56,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS521101D,PROPELLER SHAFT,DE,870850,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,31.440,"10,614.76",318.44,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QT423051E,STEERING SYSTEM,DE,870894,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,34.536,"26,328.18",789.85,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5WA199315F,SUBFRAME,PL,870899,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,33.600,"3,719.14",111.57,EUR,VOLKSWAGEN AG
51190699,16-02-2026,3WA505235AF,SUBFRAME,DE,870880,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,63.000,"16,032.08",480.96,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS501051EB,FINAL DRIVE,DE,870850,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,52.800,"14,092.19",422.77,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS501052EB,FINAL DRIVE,DE,870850,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,52.800,"14,092.19",422.77,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L807305D,BUMPER BAR,PL,870810,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,22.314,"1,766.59",53.00,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5H2800345RA4X,DOOR HANDLE,CZ,392630,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,SET,0.463,"2,596.85",25.97,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QF601027S03C,RIM,PL,870870,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,31.650,"2,253.36",67.60,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QF601324,TIRE,CN,401110,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,22.800,"2,067.22",62.02,EUR,VOLKSWAGEN AG
51190699,16-02-2026,57L807109B,"BUMPER BAR,FRONT",CZ,870810,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCE,53.982,"7,033.29",211.00,EUR,VOLKSWAGEN AG
51190699,16-02-2026,5QS201021AS,FUEL TANK,HU,870899,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCE,11.761,"15,702.34",157.02,EUR,VOLKSWAGEN AG
