Invoice Number	Invoice Date	Part No.		Description	Country Code	HS Code	Default	Quantity	Unit	Net Weight	Price/100	Total Price	Currency	Source
51190418	16-02-2026	0CQ525010AP	87085000	REAR DIFFERENTIAL	DE	870850	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	88.512	"38,767.80"	"1,163.03"	EUR	VOLKSWAGEN AG
51190418	16-02-2026	11A827506A	83012000	LOCK	IT	830120	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	1.05	619.37	18.58	EUR	VOLKSWAGEN AG
51190418	16-02-2026	572857017A	#N/A	MODULE BRACKET	CZ	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	18.3	"3,216.51"	96.5	EUR	VOLKSWAGEN AG
51190418	16-02-2026	572863934B	87082900	DAMPING	CZ	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	21	"2,869.71"	86.09	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L805588H	87082900	PLASTIC FRONT-END CARRIER	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	9.861	"1,489.14"	44.67	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L863919	#N/A	FLOOR SOUND INSULATION	DE	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	12.75	"1,351.31"	40.54	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L941012A	#N/A	HEADLAMP	CZ	851220	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	SET	47.28	"57,335.93"	"1,720.08"	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57M863367A62U	#N/A	FLOOR COVERING	PL	870829	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	12.327	"1,733.01"	51.99	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5H2800345R0K1	#N/A	DOOR HANDLE	CZ	392630	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	SET	0.454	"2,596.85"	25.97	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5QS400053	87089400	STEERING KNUCKLE	DE	870850	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	86.22	"14,848.14"	445.44	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5QS400054	87089400	STEERING KNUCKLE	DE	870850	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	86.265	"14,932.14"	447.96	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5QS412022FE	87088000	SUSPENSION STRUT	DE	870880	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	6	PCE	44.502	"5,276.07"	316.56	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5QS521101D	87089900	PROPELLER SHAFT	DE	870850	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	31.44	"10,614.76"	318.44	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5QT423051E	87089400	STEERING SYSTEM	DE	870894	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	34.536	"26,328.18"	789.85	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5WA199315F	87089900	SUBFRAME	PL	870899	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	33.6	"3,719.14"	111.57	EUR	VOLKSWAGEN AG
51190418	16-02-2026	8V0827507K	87082900	STRIKER	PL	830160	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	0.57	233.51	7.01	EUR	VOLKSWAGEN AG
51190418	16-02-2026	3WA505235AF	#N/A	SUBFRAME	DE	870880	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	63	"16,032.08"	480.96	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5QS501051EB	#N/A	FINAL DRIVE	DE	870850	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	52.8	"14,092.19"	422.77	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5QS501052EB	#N/A	FINAL DRIVE	DE	870850	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	52.8	"14,092.19"	422.77	EUR	VOLKSWAGEN AG
51190418	16-02-2026	57L807305D	87081090	BUMPER BAR	PL	870810	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	PCE	22.314	"1,766.59"	53	EUR	VOLKSWAGEN AG
51190418	16-02-2026	5H2800345RA6H	#N/A	DOOR HANDLE	CZ	392630	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	SET	0.463	"2,596.85"	25.97	EUR	VOLKSWAGEN AG
