Invoice Number,Invoice Date,Country of Origin,HS Code,Mat. NO.,Description,Default,Quantity,Weight per PC (kg),Unit Price (per batch),Price per PC,Total Price,Currency
59638685,30.01.2026,DE,870850,"=""0CQ525010AN""",Final drive,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,29.800,423.55,1 /PC,"1,270.65",EUR
59638685,30.01.2026,DE,870850,3WA505235AF,Sub frame,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,20.980,125.62,1 /PC,376.86,EUR
59638685,30.01.2026,CZ,870810,571807109C,Bumper,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,11.800,43.41,1 /PC,130.23,EUR
59638685,30.01.2026,PL,870892,57H253181AG,Intermediate pipe with,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,15.800,87.80,1 /PC,263.40,EUR
59638685,30.01.2026,CZ,870870,57H601011G,Spare Wheel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,18.000,54.94,1 /PC,164.82,EUR
59638685,30.01.2026,DE,870829,57H805588J,Front panel,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,3.400,16.72,1 /PC,50.16,EUR
59638685,30.01.2026,CZ,870810,57H807101MF7C,"BUMPER,FRONT",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,11.820,467.45,1 /PC,467.45,EUR
59638685,30.01.2026,CZ,870810,57H807101MS9R,"BUMPER,FRONT",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,11.820,467.45,1 /PC,934.90,EUR
59638685,30.01.2026,CZ,870810,57H807301CF7C,REAR BUMPER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,6.000,143.78,1 /PC,143.78,EUR
59638685,30.01.2026,CZ,870810,57H807301CS9R,REAR BUMPER,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,6.000,133.76,1 /PC,267.52,EUR
59638685,30.01.2026,CZ,870829,57H867427FZTB,Trunk lining,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,3.399,29.76,1 /PC,89.28,EUR
59638685,30.01.2026,CZ,870829,57H867428EZTB,Trunk lining,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,3.175,30.81,1 /PC,92.43,EUR
59638685,30.01.2026,CZ,870829,57H867975B4PK,Trim panel for hatch gate,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,2.500,995.31,100 /PC,29.85,EUR
59638685,30.01.2026,CZ,940120,57H881031JCIH,FRONT SEAT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,15.000,255.89,1 /PC,767.67,EUR
59638685,30.01.2026,CZ,940120,57H881032JCIH,FRONT SEAT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,16.000,252.46,1 /PC,757.38,EUR
59638685,30.01.2026,CZ,940120,57H881041JCIH,FRONT SEAT BACKRES,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,10.000,227.58,1 /PC,682.74,EUR
59638685,30.01.2026,CZ,940120,57H881042JCIH,FRONT SEAT BACKRES,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,10.000,256.08,1 /PC,768.24,EUR
59638685,30.01.2026,UA,940199,57H885031CII,REAR SEAT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,4.000,86.29,1 /PC,258.87,EUR
59638685,30.01.2026,UA,940199,57H885032CII,REAR SEAT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,4.000,78.51,1 /PC,235.53,EUR
59638685,30.01.2026,PL,940199,57H885041CII,REAR SEAT BACKREST,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,19.000,330.44,1 /PC,991.32,EUR
59638685,30.01.2026,PL,940199,57H885042CII,REAR SEAT BACKREST,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,19.000,252.37,1 /PC,757.11,EUR
59638685,30.01.2026,PL,940199,57H888014XOF,REAR SEAT,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,3.000,305.62,1 /PC,916.86,EUR
59638685,30.01.2026,CZ,851220,57H941035A,LED headlight,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,5.604,164.65,1 /PC,493.95,EUR
59638685,30.01.2026,CZ,851220,57H941036A,LED headlight,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,5.604,164.65,1 /PC,493.95,EUR
59638685,30.01.2026,CZ,854430,57H971051138,Central wiring harness,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,5.000,586.56,1 /PC,"1,759.68",EUR
59638685,30.01.2026,CZ,854430,57H971058138,Central wiring harness,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,5.000,252.17,1 /PC,756.51,EUR
59638685,30.01.2026,CZ,854430,57J857007BXCC,Dashboard with air duct,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,7.770,82.26,1 /PC,246.78,EUR
59638685,30.01.2026,CZ,870829,57J857017,Cross member for dashbord,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,5.130,33.13,1 /PC,99.39,EUR
59638685,30.01.2026,CZ,700910,57J857501EF7C,EXTERIOR MIRROR,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,2.312,119.67,1 /PC,119.67,EUR
59638685,30.01.2026,CZ,700910,57J857501ES9R,EXTERIOR MIRROR,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,2.312,119.67,1 /PC,239.34,EUR
59638685,30.01.2026,CZ,700910,57J857502EF7C,EXTERIOR MIRROR,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,2.344,156.29,1 /PC,156.29,EUR
59638685,30.01.2026,CZ,700910,57J857502ES9R,EXTERIOR MIRROR,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),2,2.344,156.29,1 /PC,312.58,EUR
59638685,30.01.2026,CZ,570500,57J863011CA9,LUGGAGE COMPARTM.,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,2.047,815.54,100 /PC,24.48,EUR
59638685,30.01.2026,CZ,870829,57J863021B62U,Floor cover,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,5.120,33.16,1 /PC,99.48,EUR
59638685,30.01.2026,CZ,870829,57J863241NIFT,Center console,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),8,2.216,124.04,1 /PC,992.32,EUR
59638685,30.01.2026,SK,870829,57J863935,Sound baffle,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,6.340,25.09,1 /PC,75.27,EUR
59638685,30.01.2026,PL,870891,5Q0145803AD,charge air cooler,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,3.094,23.74,1 /PC,71.22,EUR
59638685,30.01.2026,CZ,870892,5QA253059MD,"EXHAUST SYSTEM, FR",(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,13.789,658.70,1 /PC,"1,976.10",EUR
