Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,CTH,Basic notification,Sr no,CETH,Excise notification,Sr no,Mrp Sr no,Amount,SAD notification,Sr no,Exim Code,Scheme Notn,Scheme SrNo,Generic Description,BRAND,Model,END USE,EduCessNotnNo,EduCessNotnSrNo ,SHEduCessNotnNo,SHEduCessNotnSrNo,CEXEduCessNotnNo,CEXEduCessNotnSrNo ,Country of origin,RSP Notf,Sr. no.,Sapta Notif No,SAPTA Sr No,Manufacturer,Address,MRP Status,Abatement Rate,IGST Notn No,IGST SrNo,GST CCESS Notn No,GST CCESS SrNo,IGST Exemp Notn Type,IGST Exemp Notn No,IGST Exemp SrNo,GST CCESS Exemp NotnType,GST CCESS Exemp Notn No,GST CCESS Exemp SrNo,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SWS Notn No,SWS Notn SrNo,Duty Exemption Type,Regn No.,Regn Date,Regn Port,Item SNo. In Lic.,Product Material Code,Type Of Item,Source Country,Transit Country,SQC_Qty,Consigner Name,Consigner Address,Consigner City,Consigner Country,SIMS Category,SIMS Code,Custom Health Cess Notn No,Custom Health Cess Notn SrNo,COO_No ,COO_Date of Issue ,COO_Issuing Country ,COO_Origin Criteria ,COO_Origin Criteria remarks ,COO_Accumulation/Cumulation Status ,FOC Item,AIDC Levy Notification No ,AIDC Levy Notification Sr.No. ,AIDC Exemption Notification No. ,AIDC Exemption Notification Sr.No. ,AIDCNotn_Excise,ADICNotnSr_Excise,Previous BE No.,Previous BE Date,Previous BE IGM No.,Previous BE IGM Date,Previous BE Currency,Previous BE Unit Price,Previous BE Custom House,Aggregate Duty Notification No.,Aggregate Duty Notification Sr.No.,COO_Tariff Shift,COO_Retroactive Issuance Status,COO_Direct Consignment Status,GST_Comp_Cess_SalePrice_INR,CVD_Notn,CVD_SLNo,CVD_Rate,CVD_Calc,CVD_ItemSLNo,CVD_SuppSLNo,COO_ItemSrNoCert
59638681,30-01-2026,FOB,0CQ525010AN FINAL DRIVE (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,423.55,87085000,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,0CQ525010AN,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,89.4,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,3WA505235AF SUB FRAME (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,125.62,87085000,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,3WA505235AF,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,62.94,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,571807109C BUMPER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,43.41,87081090,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,571807109C,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,35.4,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H253181AG INTERMEDIATE PIPE WITH (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,87.8,87089200,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H253181AG,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,47.4,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H601011G SPARE WHEEL (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,54.94,87087000,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H601011G,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,54,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H805588J FRONT PANEL (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),3,PCS,EUR,16.72,87089900,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H805588J,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,10.2,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,"57H807101MF7C BUMPER,FRONT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)",1,PCS,EUR,467.45,87081090,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H807101MF7C,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,11.82,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,"57H807101MF9R BUMPER,FRONT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)",1,PCS,EUR,459.83,87081090,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H807101MF9R,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,11.82,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,"57H807101MS9R BUMPER,FRONT (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)",1,PCS,EUR,467.45,87081090,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H807101MS9R,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,11.82,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
59638681,30-01-2026,FOB,57H807301CF7C REAR BUMPER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),1,PCS,EUR,143.78,87081090,,,NOEXCISE,,,,,,,,,,(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),SKODA,57H807301CF7C,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,,,,,,,,,,,,6,SKODA AUTO A.S.,"TR. VACLAVA KLEMENTA 869,Mlada Boleslav II, 293 01 Mlada Boleslav",,CZ,,,,,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,
