Invoice Number	Invoice Date	Country of Origin	HS Code	Mat. NO.		Description	Default	Quantity	Weight per PC (kg)	Unit Price (per batch)	Price per PC	Total Price	Currency
59638681	30.01.2026	DE	870850	0CQ525010AN	87085000	Final drive	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	29.8	423.55	1 /PC	"1,270.65"	EUR
59638681	30.01.2026	DE	870850	3WA505235AF	#N/A	Sub frame	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	20.98	125.62	1 /PC	376.86	EUR
59638681	30.01.2026	CZ	870810	571807109C	87081090	Bumper	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	11.8	43.41	1 /PC	130.23	EUR
59638681	30.01.2026	PL	870892	57H253181AG	87082900	Intermediate pipe with	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	15.8	87.8	1 /PC	263.4	EUR
59638681	30.01.2026	CZ	870870	57H601011G	87087000	Spare Wheel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	18	54.94	1 /PC	164.82	EUR
59638681	30.01.2026	DE	870829	57H805588J	87082900	Front panel	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	3	3.4	16.72	1 /PC	50.16	EUR
59638681	30.01.2026	CZ	870810	57H807101MF7C	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	467.45	1 /PC	467.45	EUR
59638681	30.01.2026	CZ	870810	57H807101MF9R	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	459.83	1 /PC	459.83	EUR
59638681	30.01.2026	CZ	870810	57H807101MS9R	#N/A	"BUMPER,FRONT"	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	11.82	467.45	1 /PC	467.45	EUR
59638681	30.01.2026	CZ	870810	57H807301CF7C	87081090	REAR BUMPER	(AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)	1	6	143.78	1 /PC	143.78	EUR
