Inv No,Date,TOI,Product Desc,Quantity,Unit,Currency,Rate,CTH,Basic notification,Sr no,CETH,Excise notification,Sr no,Mrp Sr no,Amount,SAD notification,Sr no,Exim Code,Scheme Notn,Scheme SrNo,Generic Description,BRAND,Model,END USE,EduCessNotnNo,EduCessNotnSrNo ,SHEduCessNotnNo,SHEduCessNotnSrNo,CEXEduCessNotnNo,CEXEduCessNotnSrNo ,Country of origin,RSP Notf,Sr. no.,Sapta Notif No,SAPTA Sr No,Manufacturer,Address,MRP Status,Abatement Rate,IGST Notn No,IGST SrNo,GST CCESS Notn No,GST CCESS SrNo,IGST Exemp Notn Type,IGST Exemp Notn No,IGST Exemp SrNo,GST CCESS Exemp NotnType,GST CCESS Exemp Notn No,GST CCESS Exemp SrNo,Manufacturer Cntry,Manufacturer State,Manuf Postal Code,SWS Notn No,SWS Notn SrNo,Duty Exemption Type,Regn No.,Regn Date,Regn Port,Item SNo. In Lic.,Product Material Code,Type Of Item,Source Country,Transit Country,SQC_Qty,Consigner Name,Consigner Address,Consigner City,Consigner Country,SIMS Category,SIMS Code,Custom Health Cess Notn No,Custom Health Cess Notn SrNo,COO_No ,COO_Date of Issue ,COO_Issuing Country ,COO_Origin Criteria ,COO_Origin Criteria remarks ,COO_Accumulation/Cumulation Status ,FOC Item,AIDC Levy Notification No ,AIDC Levy Notification Sr.No. ,AIDC Exemption Notification No. ,AIDC Exemption Notification Sr.No. ,AIDCNotn_Excise,ADICNotnSr_Excise,Previous BE No.,Previous BE Date,Previous BE IGM No.,Previous BE IGM Date,Previous BE Currency,Previous BE Unit Price,Previous BE Custom House,Aggregate Duty Notification No.,Aggregate Duty Notification Sr.No.,COO_Tariff Shift,COO_Retroactive Issuance Status,COO_Direct Consignment Status,GST_Comp_Cess_SalePrice_INR,CVD_Notn,CVD_SLNo,CVD_Rate,CVD_Calc,CVD_ItemSLNo,CVD_SuppSLNo,COO_ItemSrNoCert
48640006,11-02-2026,FOB,5WA121251H RADIATOR (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),46,PCS,INR,2307.291087,87089100,,,NOEXCISE,"106,135.39",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,5WA121251H,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,149.5,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,5Q0199868C BEARING (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),450,PCS,INR,142.3526,40169390,,,NOEXCISE,"64,058.67",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,5Q0199868C,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II142,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,96.75,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,"83A807309A BUMPER BAR,REAR (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)",27,PCS,INR,1717.114815,87081090,,,NOEXCISE,"46,362.10",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83A807309A,GNX200,,,,,,,CZ,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,201.285,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,5QF601027Q03C RIM (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),40,PCS,INR,2013.20475,87089900,,,NOEXCISE,"80,528.19",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,5QF601027Q03C,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,424,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H945096 REAR COMBINATION LAMP (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),30,PCS,INR,1100.627,85122020,,,NOEXCISE,"33,018.81",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H945096,GNX200,,,,,,,RO,,,,,,,N,,009/2025,II485,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,30,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H945091 REAR COMBINATION LAMP (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,PCS,INR,3821.23625,85122020,,,NOEXCISE,"183,419.34",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H945091,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II485,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,48,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H945092 REAR COMBINATION LAMP (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),48,PCS,INR,3821.23625,85122020,,,NOEXCISE,"183,419.34",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H945092,GNX200,,,,,,,PL,,,,,,,N,,009/2025,II485,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,48,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,"5FA837267A COVER,DOOR ARRESTER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)",160,PCS,INR,31.3276875,87089900,,,NOEXCISE,"5,012.43",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,5FA837267A,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,7.2,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,"83K858987 BRACKET, TRIM (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION)",24,PCS,INR,287.49375,87089900,,,NOEXCISE,"6,899.85",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83K858987,GNX200,,,,,,,HU,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,4.32,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
48640006,11-02-2026,FOB,83H867505HMO1 ROOFLINER (AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION),4,PCS,INR,4224.7625,87089900,,,NOEXCISE,"16,899.05",,,,,,,,,AUTOMOTIVE PARTS FOR CAPTIVE CONSUMPTION,NA,83H867505HMO1,GNX200,,,,,,,DE,,,,,,,N,,009/2025,II544,001/2017,56,,,,,,,,,,011/2021,17,,,,,,,,,,12.8,AUDI AG,85045 INGOLSTADT UST-ID-NR.: DE811115368,,GERMANY,,,,,,,,,,,,011/2021,17,,,,,,,,,,,,,,,,,,,,,,,,
